epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
115,54862.1,0.42698,0.21976,0.00228,0.9603,0.967,0.9766,0.84623,0.60894,0.25601,0.01242,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,55126.4,0.42489,0.22075,0.00224,0.96066,0.96917,0.97666,0.8475,0.60881,0.25637,0.0124,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,55391,0.4255,0.21807,0.00225,0.96011,0.96874,0.97659,0.84771,0.60666,0.25704,0.01234,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,55655.5,0.41688,0.21857,0.00221,0.95863,0.96777,0.97634,0.84716,0.60619,0.25828,0.0123,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,55920.1,0.41825,0.21237,0.00221,0.95761,0.96843,0.97624,0.84656,0.60637,0.25824,0.01226,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,56184,0.4156,0.20908,0.0022,0.96082,0.9683,0.97707,0.84313,0.60745,0.25636,0.01222,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,56447.9,0.41111,0.20775,0.00218,0.96034,0.96878,0.97692,0.8474,0.60663,0.2566,0.01225,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,56712.4,0.40723,0.20884,0.00215,0.96055,0.9681,0.97673,0.8448,0.6077,0.25676,0.0122,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,56976.7,0.40969,0.20649,0.00216,0.96194,0.96847,0.97679,0.84323,0.6062,0.2574,0.01216,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,57241,0.40291,0.20235,0.00213,0.96263,0.96826,0.97655,0.84458,0.60602,0.25882,0.01218,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,57505.2,0.40356,0.19835,0.00213,0.96278,0.96868,0.9763,0.8432,0.60488,0.25963,0.01213,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,57768.9,0.39795,0.20267,0.0021,0.9634,0.96726,0.97599,0.84253,0.60589,0.25966,0.01209,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,58032.9,0.39626,0.19431,0.00209,0.96263,0.96699,0.97607,0.84263,0.60751,0.25985,0.01212,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,58297.2,0.39331,0.19618,0.00207,0.96077,0.96634,0.97587,0.84237,0.60709,0.26027,0.01205,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,58561.4,0.3883,0.19523,0.00206,0.96427,0.96713,0.97597,0.84283,0.60735,0.25991,0.01208,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,58825.4,0.38639,0.19384,0.00204,0.96556,0.96663,0.97569,0.84257,0.60756,0.26007,0.01209,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,59089.9,0.3842,0.19328,0.00203,0.96588,0.96556,0.97564,0.84379,0.60481,0.2598,0.01203,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,59354.4,0.38036,0.18843,0.00201,0.96562,0.96621,0.9759,0.84351,0.60675,0.26058,0.01206,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,59618.1,0.37739,0.19019,0.00198,0.96563,0.96649,0.97576,0.84336,0.60607,0.26116,0.01199,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
